"Amused to death","Waters, Roger","1992"
"Hello lovers","Watanabe, Misato ","1992"
"The guitarist","Various artists ","1992"
"Break like the wind (incl. Bitch school)","Spinal Tap","1992"
"Father of the bride","Soundtrack (Alan Silvestri)","1992"
"Olivier Olivier","Soundtrack","1992"
"Straight talk","Soundtrack","1992"
"Tri ality","Schultz, Ben ","1992"
"The drums are back","Powell, Cozy ","1992"
"Straight talk","Parton, Dolly ","1992"
"Girl like you","Nakajima, Fumiaki ","1992"
"L.A. Blues Authority","L.A. Blues Authority","1992"
"Kurt Howell","Howell, Kurt","1992"
"Himuro masterpiece","Himuro, Kyosuke ","1992"
"The state of play","Hadley, Tony","1992"
"Other places","Fields, Brandon","1992"
"Burn down the night","Champlin, Bill","1992"
"Siblings","Bissonette, Gregg ","1992"
"Absolutely live","Toto","1993"
"Suspending disbelief","Webb, Jimmy","1993"
"Bopha","Soundtrack","1993"
"Moscow calling","Gorky Park","1993"
"Ride the wild tomtom","dB's, The ","1993"
"Candyman","Lukather, Steve","1994"
"Voice mail/Battle lines","Wetton, John","1994"
"Night of the Proms","Various artists ","1994"
"Riccochet","Pasquale, Joe ","1994"
"Peilipallo","Hausmylly ","1994"
"Words and music","Goodrum, Randy","1994"
"Solitude","Far Corporation","1994"
"Still on the road","Clooney, Rosemary ","1994"
"Through it all","Champlin, Bill","1994"
"Scampi fritti","Beacco, Marc ","1994"
"Tambu","Toto","1995"
"Africa fete 3","Various artists ","1995"
"In from the storm, The music of J. Hendrix","Various artists ","1995"
"Jeffology, A guitar chronology","Various artists ","1995"
"Balance","Van Halen","1995"
"Sax on the beach","Tesh, The John Project ","1995"
"People","Soundtrack","1995"
"White light","Sherwood Ball 'n Chain ","1995"
"I send him roses","Randolph, Joyce ","1995"
"Norwegian wood II","L.A. Workshop ","1995"
"Turn your love around","Kleptomania","1995"
"History","Jackson, Michael","1995"
"Exhale (single)","Houston, Whitney ","1995"
"Turn your love around (1)","Di Bart, Tony","1995"
"I'll be over you","Coryell, Larry ","1995"
"Don't be scared by these hands","Waybill, Fee","1996"
"Genius of America","Tubes, The","1996"
"Blue syndicate","Tamas","1996"
"Singin' in the rain","Soundtrack","1996"
"For me and my gall","Soundtrack","1996"
"Louder than words","Richie, Lionel ","1996"
"Live around the world","Meat Loaf","1996"
"Hard core","Lil' Kim ","1996"
"Finest hour","Jackopierce ","1996"
"Surfers drive woodies","Graydon, Jay/Rake & Surftones ","1996"
"Innocent loser","Andreas, Teddy ","1996"
"Luke","Lukather, Steve","1997"
"One step up/two steps back: The songs of Bruce Springsteen","Various artists ","1997"
"Carols of Christmas II","Various artists ","1997"
"Balko","Soundtrack","1997"
"Flesh and bone","Marx, Richard","1997"
"People in room no 8","Man Doki","1997"
"Voci e chitarre","Lavezzi, Mario ","1997"
"Dife","Kassav","1997"
"Blood on the dancefloor","Jackson, Michael ","1997"
"Tribute to Jeff","Garfield, David & Friends ","1997"
"Uptown groove","Breaux, Zachary ","1997"
"3","Williams, Joseph ","1997"
"Scampi fritti","Beacco, Marc ","1997"
"XX","Toto","1998"
"Merry axemas, volume 2","Various artists ","1998"
"Van Halen III","Van Halen","1998"
"Odd man out","Torpey, Pat ","1998"
"Man in the machine/Shadows of the past","Terrana, Mike ","1998"
"Live in Budapest","Tamas","1998"
"Kathak","Gurtu, Trilok ","1998"
"No cry, just music","Gebhard, Nicky & Gee Fresh ","1998"
"I am the cat, …man","Garfield, David & Friends ","1998"
"Gregg Bissonette","Bissonette, Gregg ","1998"
"Trying to forget","Be Five, The ","1998"
"Livefields","Toto","1999"
"Mindfields","Toto","1999"
"Progression (Linzer Klangwolke)","Wolf, Peter","1999"
"Storybook","Walker, Gary ","1999"
"Instrumentally yours: classic love songs","Various artists ","1999"
"Sounds of wood and steel, volume 2","Various artists ","1999"
"Humanary stew, Tribute to Alice Cooper","Various artists ","1999"
"Not the same old song and dance, Tribute to Aerosmith","Various artists ","1999"
"ELT songs from L.A.","Various artists ","1999"
"Back to back","Turtles, The ","1999"
"Odd man out, Y2K","Torpey, Pat ","1999"
"Retro-spec(t)","Klimas, Larry","1999"
"Lara Fabian","Fabian, Lara","1999"
"Favorites","Dante, Ron","1999"
"Timeless/The classics, volume 2","Bolton, Michael ","1999"
"Friends in love","Wilson, Nanvy","2000"
"Lynda Wehipeihana Project","Wehipeihana Project, Lynda ","2000"
"Bat head soup, Tribute to Ozzy","Various artists ","2000"
"Tubes world tour 2001","Tubes, The","2000"
"Sha la la/Remember me","Tube","2000"
"Better than dreams","Tolle Project, Christian ","2000"
"Pokemon 2000: Power of one","Soundtrack","2000"
"Neei","Okui, Masami ","2000"
"Deep","Niacin","2000"
"No Substitutions","Lukather, Steve & Larry Carlton","2001"
"Cape of good hope","Wilson, Jim","2001"
"Tae bo mix","Various artists ","2001"
"Stone cold Queen, a tribute","Various artists ","2001"
"Inertia","Sherinian, Derek","2001"
"One in a million","Shankar & Gingger ","2001"
"Dig","Scaggs, Boz","2001"
"First contact","Sanchez, Roger","2001"
"Lost and found","Karizma","2001"
"Right now","Iijima, Mari","2001"
"Blue Planet","DiMaggio, Robin","2001"
"The Houston kid","Crowell, Rodney","2001"
"Through the looking glass","Toto","2002"
"Guitar attitudes - heroes","Various artists ","2002"
"The best of Night of the Proms vol.1","Various artists ","2002"
"Guitars for freedom II","Various artists ","2002"
"Pigs and pyramids, The songs of Pink Floyd","Various artists ","2002"
"One way street, a tribute to Aerosmith","Various artists ","2002"
"Todd Rundgren & His Friends","Rundgren, Todd","2002"
"Coming through","Okumoto, Ryo","2002"
"Soulmates","Man Doki","2002"
"I'll be over you","Love Solution","2002"
"Never a dull moment","Lee, Tommy","2002"
"Masters of chant chapter III","Gregorian","2002"
"The real thing","Gore, Jacky","2002"
"The Complete Miles Davis at Montreux 1973-1991","Davis, Miles","2002"
"L.A. reflection","AOR","2002"
"25th Anniversary live in Amsterdam","Toto","2003"
"Santamental","Lukather, Steve & Friends","2003"
"Birdland","Yardbirds","2003"
"Feels so good / A secret place","Washington, Grover","2003"
"Night of the Proms 2003","Various artists ","2003"
"Stairway to rock - (not just) a Led Zeppelin tribute","Various artists ","2003"
"Influences and connections 1, Mr. Big","Various artists ","2003"
"Voodoo crossing, a tribute to Jimi Hendrix","Various artists ","2003"
"Various artists - Hazy dreams, (not just) a Jimi Hendrix tribute","Various artists ","2003"
"Tears of happiness","Tschuggnall, Michael ","2003"
"More to life than this","Tramp, Mike","2003"
"Black Utopia","Sherinian, Derek","2003"
"From the underground vol. 2","Lake, Gregg","2003"
"Running back to you","Heimlicher, Matthias ","2003"
"Giving back","Garfield, David & Friends ","2003"
"Dreaming of L.A.","AOR","2003"
"Jazzin' the blues","Winter, Edgar ","2004"
"Bedroom mixes, volume 3","Various artists ","2004"
"A guitars surpreme, tribute to John Coltrane","Various artists ","2004"
"Spin the bottle, an allstar tribute to Kiss","Various artists ","2004"
"The best of both worlds","Van Halen","2004"
"Songs I left behind","Tramp, Mike","2004"
"Over the edge","Thomas, Mickey","2004"
"Mythology","Sherinian, Derek","2004"
"Potato Salad","Potato Salad","2004"
"The official bootleg","Los Lobotomys","2004"
"Burn season","Larson Band, Travis","2004"
"Jazzwork","Diggs, David","2004"
"Heart and soul","Cocker, Joe","2004"
"Jest","Budka Suflera","2004"
"Nothing but the best","AOR","2004"
"Dragon ball Z3","Yamamoto, Kenji","2005"
"El Grupo live","Lukather, Steve & El Grupo","2005"
"Bazooka","Travers & Appice","2005"
"Dragon ball Z & Z2","Yamamoto, Kenji","2005"
"Gypsy Blood A Tribute To Jimi Hendrix Vol.2","Various artists ","2005"
"The loner","Various artists ","2005"
"Visions of an inner mounting apocalypse","Various artists ","2005"
"The real thing","Tolle, Christian","2005"
"Back against the wall","Various artists ","2005"
"Hurricane relief","Various artists ","2005"
"Woodstock, vol. II","Schwarz, Siggi & the Rock Legends ","2005"
"American made, world played","Paul, Les & Friends ","2005"
"9 Hours","Miles, Jay ","2005"
"Stranger in a foreign land","Logan, Oni ","2005"
"Munich concert","Davis, Miles","2005"
"Together","Osmond, Donny & Marie ","2005"
"Cerrone: by Bob Sinclair","Cerrone","2006"
"Vibrate","Soussan, Phil ","2006"
"Blow your mind","Rodgers, Dave ","2006"
"Again","Jones, Ronnie","2006"
"Resonator","Levin, Tony ","2006"
"Falling in Between","Toto","2006"
"L.A. attraction","AOR","2006"
"L.A. concession","AOR","2006"
"The Royal Dan, a tribute","Various artists ","2006"
"Butchering the Beatles","Various artists ","2006"
"Friends with privileges","Fowler, Bernard ","2006"
"Live for tomorrow","Mendoza, Marco ","2007"
"Back from the 80's","U-nam","2007"
"Stop lovin' you","Vinylworxx","2007"
"Falling in between live","Toto","2007"
"25 Years at New Morning","Various artists ","2007"
"Bringing back the funk","Culbertson, Brian ","2008"
"No place left to fall","Champlin, Bill","2008"
"Guitar heroes, Led Zeppelin instrumental renditions","Various artists ","2008"
"We wish you a metal Xmas and a headbanging new year","Various artists ","2008"
"A tribute to a legend","Paul, Les & Friends ","2008"
"A rockwalk through the Toto years","King of Balance ","2008"
"This fall","Williams, Joseph ","2008"
"Timepieces","Cuesta Voce ","2008"
"Online","Borghi, Simone ","2008"
"I won't hold you back","Stereoboys","2008"
"Ever changing times","Lukather, Steve","2008"
"Led box: The ultimate tribute to Led Zeppelin","Various artists ","2008"
"Schizophrenic","Noy, Oz","2009"
"Journey to L.A.","AOR","2009"
"This is it","Jackson, Michael","2009"
"Songs and stories","Benson, George ","2009"
"Aquarelle","Man Doki Soulmates","2009"
"Abbey Road: Tribute to The Beatles","Various artists ","2009"
"Thank you","Mandoki Soulmates","2010"
"All's well that ends well","Lukather, Steve","2010"
"An odd couple live","Lukather, Steve & Edgar Winter","2010"
"BK3","Kulick, Bruce","2010"
"Luis Miguel","Miguel, Luis","2010"
"6 String theory","Ritenour. Lee","2010"
"Lightning strikes twice","Nelson","2010"
"Unusual suspects","West, Leslie","2011"
"Dialogue","Weingart, Steve & Renee Jones","2011"
"Oceana","Sherinian, Derek","2011"
"Still got the blues, A tribute to Gary Moore","Schwarz, Siggi & Friends","2011"
"Prince of paupers","Grand Illusion","2011"
"The world as we love it","Pushkin","2011"
"Road to forever","Felder, Don","2012"
"Can't take a hint","Shearer, Harry ","2012"
"Great gypsy soul","Bolin, Tommy & Friends","2012"
"Dragonfly","Evans, Bill","2012"
"BudaBest","Mandoki Soulmates","2013"
"Love, Gratitude and Other Distractions","Lee, Will","2013"
"Transition","Lukather, Steve","2013"
"You're the inspiration","Pomeranz, David","2013"
"Lions & lambs","De Rosso, Alex","2013"
"Stuff like that","Condor, Thierry","2013"
"Andreas Varady","Varady, Andreas","2014"
"35th Anniversary Tour - Live In Poland","Toto","2014"
"Another long night out","Culbertson, Brian","2014"
"Rock Against Trafficking","Various artists","2015"
"Postcards from Paradise","Starr, Ringo","2015"
"Toto XIV","Toto","2015"
"Now & Then","Tolle, Christian","2016"
"Live at Montreux 1991","Toto","2016"
"Influence","Chiklis, Michael","2016"
"Someday Somehow","Porcaro, Steve","2016"
